pokemon_species,🇬🇧 (en),🇫🇷 (fr),🇪🇸 (es),🇩🇪 (de),🇮🇹 (it),🇯🇵 (ja),🇰🇷 (ko),🇨🇳 (zh-Hans),🇷🇺 (ru),🇲🇽 (es-MX),🇵🇹 (pt),🇳🇱 (nl),🇹🇷 (tr),🇸🇦 (ar),🇹🇭 (th),🇻🇳 (vi),🇵🇱 (pl),🇸🇪 (sv),🇩🇰 (da),🇳🇴 (no),🇫🇮 (fi),🇬🇷 (el),🇮🇩 (id),🇲🇾 (ms),🇵🇭 (fil),🇭🇺 (hu),🇨🇿 (cs),🇸🇰 (sk),🇷🇴 (ro),🇺🇦 (uk),🇭🇷 (hr),🇧🇬 (bg),🇪🇪 (et),🇱🇻 (lv),🇱🇹 (lt),🇸🇮 (sl),🇲🇹 (mt),🇦🇱 (sq),🇲🇰 (mk),🇧🇦 (bs),🇷🇸 (sr),🇨🇾 (cy),🇮🇪 (ga),🏴 (gd),🇰🇾 (kw),🇧🇷 (br),🇿🇦 (af),🇿🇦 (xh),🇿🇦 (zu),🇿🇦 (tn),🇿🇦 (st),🇿🇦 (ss),🇿🇦 (nr),🇿🇦 (nso),🇿🇦 (ts),🇿🇦 (ve),🇺🇬 (xog),🇺🇬 (lg),🇬🇭 (ak),🇬🇭 (tw),🇧🇫 (bm),🇲🇲 (my),🇰🇭 (km),🇱🇦 (lo),🇪🇹 (am),🇪🇹 (ti),🇪🇹 (om),🇸🇴 (so),🇰🇪 (sw),🇷🇼 (rw),🇳🇬 (yo),🇳🇬 (ig),🇳🇬 (ha),🇧🇩 (bn),🇮🇳 (pa),🇮🇳 (gu),🇮🇳 (or),🇮🇳 (ta),🇮🇳 (te),🇮🇳 (kn),🇮🇳 (ml),🇱🇰 (si),🇳🇵 (ne),🇧🇹 (dz),🇧🇾 (be),🇰🇿 (kk),🇺🇿 (uz),🇰🇬 (ky)
bulbasaur,"Bulbasaur, bulbasaur",Bulbizarre,Bulbasaur,Bisasam,Bulbasaur,フシギダネ,이상해씨,妙蛙种子,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ivysaur,"Ivysaur, ivysaur",Herbizarre,Ivysaur,Bisaknosp,Ivysaur,フシギソウ,이상해풀,妙蛙草,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
venusaur,"Venusaur, venusaur, venusaur-gmax, venusaur-mega",Florizarre,Venusaur,Bisaflor,Venusaur,フシギバナ,이상해꽃,妙蛙花,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charmander,"Charmander, charmander",Salamèche,Charmander,Glumanda,Charmander,ヒトカゲ,파이리,小火龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charmeleon,"Charmeleon, charmeleon",Reptincel,Charmeleon,Glutexo,Charmeleon,リザード,리자드,火恐龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
charizard,"Charizard, charizard, charizard-gmax, charizard-mega-x, charizard-mega-y",Dracaufeu,Charizard,Glurak,Charizard,リザードン,리자몽,喷火龙,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
squirtle,"Squirtle, squirtle",Carapuce,Squirtle,Schiggy,Squirtle,ゼニガメ,꼬부기,杰尼龟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wartortle,"Wartortle, wartortle",Carabaffe,Wartortle,Schillok,Wartortle,カメール,어니부기,卡咪龟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
blastoise,"Blastoise, blastoise, blastoise-gmax, blastoise-mega",Tortank,Blastoise,Turtok,Blastoise,カメックス,거북왕,水箭龟,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
caterpie,"Caterpie, caterpie",Chenipan,Caterpie,Raupy,Caterpie,キャタピー,캐터피,绿毛虫,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
