pokemon_species,ja-Hrkt,roomaji,ko,zh-Hant,fr,de,es,it,en,cs,ja,zh-Hans,pt-BR
bulbasaur,フシギダネ,Fushigidane,이상해씨,妙蛙種子,Bulbizarre,Bisasam,Bulbasaur,Bulbasaur,"Bulbasaur, bulbasaur",,フシギダネ,妙蛙种子,
ivysaur,フシギソウ,Fushigisou,이상해풀,妙蛙草,Herbizarre,Bisaknosp,Ivysaur,Ivysaur,"Ivysaur, ivysaur",,フシギソウ,妙蛙草,
venusaur,フシギバナ,Fushigibana,이상해꽃,妙蛙花,Florizarre,Bisaflor,Venusaur,Venusaur,"Venusaur, venusaur, venusaur-gmax, venusaur-mega",,フシギバナ,妙蛙花,
charmander,ヒトカゲ,Hitokage,파이리,小火龍,Salamèche,Glumanda,Charmander,Charmander,"Charmander, charmander",,ヒトカゲ,小火龙,
charmeleon,リザード,Lizardo,리자드,火恐龍,Reptincel,Glutexo,Charmeleon,Charmeleon,"Charmeleon, charmeleon",,リザード,火恐龙,
charizard,リザードン,Lizardon,리자몽,噴火龍,Dracaufeu,Glurak,Charizard,Charizard,"Charizard, charizard, charizard-gmax, charizard-mega-x, charizard-mega-y",,リザードン,喷火龙,
squirtle,ゼニガメ,Zenigame,꼬부기,傑尼龜,Carapuce,Schiggy,Squirtle,Squirtle,"Squirtle, squirtle",,ゼニガメ,杰尼龟,
wartortle,カメール,Kameil,어니부기,卡咪龜,Carabaffe,Schillok,Wartortle,Wartortle,"Wartortle, wartortle",,カメール,卡咪龟,
blastoise,カメックス,Kamex,거북왕,水箭龜,Tortank,Turtok,Blastoise,Blastoise,"Blastoise, blastoise, blastoise-gmax, blastoise-mega",,カメックス,水箭龟,
caterpie,キャタピー,Caterpie,캐터피,綠毛蟲,Chenipan,Raupy,Caterpie,Caterpie,"Caterpie, caterpie",,キャタピー,绿毛虫,
metapod,トランセル,Trancell,단데기,鐵甲蛹,Chrysacier,Safcon,Metapod,Metapod,"Metapod, metapod",,トランセル,铁甲蛹,
butterfree,バタフリー,Butterfree,버터플,巴大蝶,Papilusion,Smettbo,Butterfree,Butterfree,"Butterfree, butterfree, butterfree-gmax",,バタフリー,巴大蝶,
weedle,ビードル,Beedle,뿔충이,獨角蟲,Aspicot,Hornliu,Weedle,Weedle,"Weedle, weedle",,ビードル,独角虫,
kakuna,コクーン,Cocoon,딱충이,鐵殼蛹,Coconfort,Kokuna,Kakuna,Kakuna,"Kakuna, kakuna",,コクーン,铁壳蛹,
beedrill,スピアー,Spear,독침붕,大針蜂,Dardargnan,Bibor,Beedrill,Beedrill,"Beedrill, beedrill, beedrill-mega",,スピアー,大针蜂,
pidgey,ポッポ,Poppo,구구,波波,Roucool,Taubsi,Pidgey,Pidgey,"Pidgey, pidgey",,ポッポ,波波,
pidgeotto,ピジョン,Pigeon,피죤,比比鳥,Roucoups,Tauboga,Pidgeotto,Pidgeotto,"Pidgeotto, pidgeotto",,ピジョン,比比鸟,
pidgeot,ピジョット,Pigeot,피죤투,大比鳥,Roucarnage,Tauboss,Pidgeot,Pidgeot,"Pidgeot, pidgeot, pidgeot-mega",,ピジョット,大比鸟,
rattata,コラッタ,Koratta,꼬렛,小拉達,Rattata,Rattfratz,Rattata,Rattata,"Rattata, rattata, rattata-alola",,コラッタ,小拉达,
raticate,ラッタ,Ratta,레트라,拉達,Rattatac,Rattikarl,Raticate,Raticate,"Raticate, raticate, raticate-alola, raticate-totem-alola",,ラッタ,拉达,
spearow,オニスズメ,Onisuzume,깨비참,烈雀,Piafabec,Habitak,Spearow,Spearow,"Spearow, spearow",,オニスズメ,烈雀,
fearow,オニドリル,Onidrill,깨비드릴조,大嘴雀,Rapasdepic,Ibitak,Fearow,Fearow,"Fearow, fearow",,オニドリル,大嘴雀,
ekans,アーボ,Arbo,아보,阿柏蛇,Abo,Rettan,Ekans,Ekans,"Ekans, ekans",,アーボ,阿柏蛇,
arbok,アーボック,Arbok,아보크,阿柏怪,Arbok,Arbok,Arbok,Arbok,"Arbok, arbok",,アーボック,阿柏怪,
pikachu,ピカチュウ,Pikachu,피카츄,皮卡丘,Pikachu,Pikachu,Pikachu,Pikachu,"Pikachu, pikachu, pikachu-alola-cap, pikachu-belle, pikachu-cosplay, pikachu-gmax, pikachu-hoenn-cap, pikachu-kalos-cap, pikachu-libre, pikachu-original-cap, pikachu-partner-cap, pikachu-phd, pikachu-pop-star, pikachu-rock-star, pikachu-sinnoh-cap, pikachu-starter, pikachu-unova-cap, pikachu-world-cap",,ピカチュウ,皮卡丘,
raichu,ライチュウ,Raichu,라이츄,雷丘,Raichu,Raichu,Raichu,Raichu,"Raichu, raichu, raichu-alola",,ライチュウ,雷丘,
sandshrew,サンド,Sand,모래두지,穿山鼠,Sabelette,Sandan,Sandshrew,Sandshrew,"Sandshrew, sandshrew, sandshrew-alola",,サンド,穿山鼠,
sandslash,サンドパン,Sandpan,고지,穿山王,Sablaireau,Sandamer,Sandslash,Sandslash,"Sandslash, sandslash, sandslash-alola",,サンドパン,穿山王,
