id,dex_number,region,slug,description,credit,enabled,catchable,abundance,gender_rate,has_gender_differences,name.de,name.en,name.es,name.fr,name.it,name.ja,name.ja-Hrkt,name.ko,name.roomaji,name.zh-Hans,name.zh-Hant,type.0,type.1,mythical,legendary,ultra_beast,event,height,weight,evo.to,evo.from,base.hp,base.atk,base.def,base.satk,base.sdef,base.spd,evo.mega,evo.mega_x,evo.mega_y,is_form,form_item
286,286,hoenn,breloom,"Breloom closes in on its foe with light and sprightly footwork, then throws punches with its stretchy arms. this pokémon’s fighting technique puts boxers to shame.",generation-iii,1,1,common,4,False,キノガッサ,Kinogassa,버섯모,斗笠菇,Chapignon,Kapilz,Breloom,Breloom,Breloom,キノガッサ,斗笠菇,grass,fighting,False,False,False,False,12,392,,shroomish,60,130,80,60,60,70,,,,False,
98,98,kanto,krabby,"Its pincers are not only powerful weapons, they are used for balance when walking sideways.",generation-i,1,1,common,4,False,クラブ,Crab,크랩,大鉗蟹,Krabby,Krabby,Krabby,Krabby,Krabby,クラブ,大钳蟹,water,,False,False,False,False,4,65,kingler,,30,105,90,25,25,50,,,,False,
97,97,kanto,hypno,"When it locks eyes with an enemy, it will use a mix of psi moves such as hypnosis and confusion.",generation-i,1,1,common,4,True,スリーパー,Sleeper,슬리퍼,引夢貘人,Hypnomade,Hypno,Hypno,Hypno,Hypno,スリーパー,引梦貘人,psychic,,False,False,False,False,16,756,,drowzee,85,73,70,73,115,67,,,,False,
974,974,paldea,cetoddle,This species left the ocean and began living on land a very long time ago. it seems to be closely related to wailmer.,generation-ix,1,1,common,4,False,アルクジラ,Arukujira,터벅고래,走鯨,Piétacé,Flaniwal,Cetoddle,Cetoddle,Cetoddle,アルクジラ,走鲸,ice,,False,False,False,False,12,450,cetitan,,108,68,45,30,40,43,,,,False,
477,477,sinnoh,dusknoir,The antenna on its head captures radio waves from the world of spirits that command it to take people there.,generation-iv,1,1,common,4,False,ヨノワール,Yonoir,야느와르몽,黑夜魔靈,Noctunoir,Zwirrfinst,Dusknoir,Dusknoir,Dusknoir,ヨノワール,黑夜魔灵,ghost,,False,False,False,False,22,1066,,dusclops,45,100,135,65,135,45,,,,False,
476,476,sinnoh,probopass,It freely controls three small units called mini-noses using magnetic force.,generation-iv,1,1,common,4,False,ダイノーズ,Dainose,대코파스,大朝北鼻,Tarinorme,Voluminas,Probopass,Probopass,Probopass,ダイノーズ,大朝北鼻,rock,steel,False,False,False,False,14,3400,,nosepass,60,55,145,75,150,40,,,,False,
669,669,kalos,flabebe,It draws out and controls the hidden power of flowers. the flower flabébé holds is most likely part of its body.,generation-vi,1,1,common,8,False,フラベベ,Flabebe,플라베베,花蓓蓓,Flabébé,Flabébé,Flabébé,Flabébé,Flabébé,フラベベ,花蓓蓓,fairy,,False,False,False,False,1,1,floette,,44,38,39,61,79,42,,,,False,
975,975,paldea,cetitan,"This pokémon wanders around snowy, icy areas. it protects its body with powerful muscles and a thick layer of fat under its skin.",generation-ix,1,1,common,4,False,ハルクジラ,Hulkujira,우락고래,浩大鯨,Balbalèze,Kolowal,Cetitan,Cetitan,Cetitan,ハルクジラ,浩大鲸,ice,,False,False,False,False,45,7000,,cetoddle,170,113,65,45,55,73,,,,False,
287,287,hoenn,slakoth,"Slakoth lolls around for over twenty hours every day. because it moves so little, it does not need much food. this pokémon’s sole daily meal consists of just three leaves.",generation-iii,1,1,common,4,False,ナマケロ,Namakero,게을로,懶人獺,Parecool,Bummelz,Slakoth,Slakoth,Slakoth,ナマケロ,懒人獭,normal,,False,False,False,False,8,240,vigoroth,,60,60,60,35,35,30,,,,False,
478,478,sinnoh,froslass,It freezes foes with an icy breath nearly -60 degrees f. what seems to be its body is actually hollow.,generation-iv,1,1,common,8,False,ユキメノコ,Yukimenoko,눈여아,雪妖女,Momartik,Frosdedje,Froslass,Froslass,Froslass,ユキメノコ,雪妖女,ice,ghost,False,False,False,False,13,266,,snorunt,70,80,70,80,70,110,,,,False,
