Rare Pokémon,Regional Pokémon
arceus,araquanid-totem
articuno,arcanine-hisui
azelf,articuno-galar
blacephalon,avalugg-hisui
buzzwole,braviary-hisui
calyrex,corsola-galar
celebi,darmanitan-galar-standard
celesteela,darmanitan-galar-zen
chi-yu,darumaka-galar
chien-pao,decidueye-hisui
cobalion,diglett-alola
cosmoem,dugtrio-alola
cosmog,electrode-hisui
cresselia,exeggutor-alola
darkrai,farfetchd-galar
deoxys,geodude-alola
dialga,golem-alola
diancie,goodra-hisui
enamorus,graveler-alola
entei,grimer-alola
eternatus,growlithe-hisui
fezandipiti,gumshoos-totem
genesect,kommo-o-totem
giratina,lilligant-hisui
glastrier,linoone-galar
groudon,lurantis-totem
guzzlord,marowak-alola
heatran,marowak-totem
ho-oh,meowth-alola
hoopa,meowth-galar
jirachi,mimikyu-totem-busted
kartana,mimikyu-totem-disguised
keldeo,moltres-galar
koraidon,mr-mime-galar
kubfu,muk-alola
kyogre,ninetales-alola
kyurem,persian-alola
landorus,pikachu-alola-cap
latias,pikachu-hoenn-cap
latios,pikachu-kalos-cap
lugia,pikachu-original-cap
lunala,pikachu-partner-cap
magearna,pikachu-sinnoh-cap
manaphy,pikachu-unova-cap
marshadow,pikachu-world-cap
melmetal,ponyta-galar
meloetta,qwilfish-hisui
meltan,raichu-alola
mesprit,rapidash-galar
mew,raticate-alola
mewtwo,raticate-totem-alola
miraidon,rattata-alola
moltres,ribombee-totem
munkidori,salazzle-totem
naganadel,samurott-hisui
necrozma,sandshrew-alola
nihilego,sandslash-alola
ogerpon,sliggoo-hisui
okidogi,slowbro-galar
palkia,slowking-galar
pecharunt,slowpoke-galar
pheromosa,sneasel-hisui
phione,stunfisk-galar
poipole,tauros-paldea-aqua-breed
raikou,tauros-paldea-blaze-breed
rayquaza,tauros-paldea-combat-breed
regice,togedemaru-totem
regidrago,typhlosion-hisui
regieleki,vikavolt-totem
regigigas,voltorb-hisui
regirock,vulpix-alola
registeel,weezing-galar
reshiram,wooper-paldea
shaymin,yamask-galar
silvally,zapdos-galar
solgaleo,zigzagoon-galar
spectrier,zoroark-hisui
stakataka,zorua-hisui
suicune,
tapu-bulu,
tapu-fini,
tapu-koko,
tapu-lele,
terapagos,
terrakion,
thundurus,
ting-lu,
tornadus,
type-null,
urshifu,
uxie,
victini,
virizion,
volcanion,
wo-chien,
xerneas,
xurkitree,
yveltal,
zacian,
zamazenta,
zapdos,
zarude,
zekrom,
zeraora,
zygarde,
