id,name,type1,type2
1,bulbasaur,grass,poison
2,ivysaur,grass,poison
3,venusaur,grass,poison
4,charmander,fire,
5,charmeleon,fire,
6,charizard,fire,flying
7,squirtle,water,
8,wartortle,water,
9,blastoise,water,
10,caterpie,bug,
11,metapod,bug,
12,butterfree,bug,flying
13,weedle,bug,poison
14,kakuna,bug,poison
15,beedrill,bug,poison
16,pidgey,normal,flying
17,pidgeotto,normal,flying
18,pidgeot,normal,flying
19,rattata,normal,
20,raticate,normal,
21,spearow,normal,flying
22,fearow,normal,flying
23,ekans,poison,
24,arbok,poison,
25,pikachu,electric,
26,raichu,electric,
27,sandshrew,ground,
28,sandslash,ground,
29,nidoran-f,poison,
30,nidorina,poison,
31,nidoqueen,poison,ground
32,nidoran-m,poison,
33,nidorino,poison,
34,nidoking,poison,ground
35,clefairy,fairy,
36,clefable,fairy,
37,vulpix,fire,
38,ninetales,fire,
39,jigglypuff,normal,fairy
40,wigglytuff,normal,fairy
41,zubat,poison,flying
42,golbat,poison,flying
43,oddish,grass,poison
44,gloom,grass,poison
45,vileplume,grass,poison
46,paras,bug,grass
47,parasect,bug,grass
48,venonat,bug,poison
49,venomoth,bug,poison
50,diglett,ground,
51,dugtrio,ground,
52,meowth,normal,
53,persian,normal,
54,psyduck,water,
55,golduck,water,
56,mankey,fighting,
57,primeape,fighting,
58,growlithe,fire,
59,arcanine,fire,
60,poliwag,water,
61,poliwhirl,water,
62,poliwrath,water,fighting
63,abra,psychic,
64,kadabra,psychic,
65,alakazam,psychic,
66,machop,fighting,
67,machoke,fighting,
68,machamp,fighting,
69,bellsprout,grass,poison
70,weepinbell,grass,poison
71,victreebel,grass,poison
72,tentacool,water,poison
73,tentacruel,water,poison
74,geodude,rock,ground
75,graveler,rock,ground
76,golem,rock,ground
77,ponyta,fire,
78,rapidash,fire,
79,slowpoke,water,psychic
80,slowbro,water,psychic
81,magnemite,electric,steel
82,magneton,electric,steel
83,farfetchd,normal,flying
84,doduo,normal,flying
85,dodrio,normal,flying
86,seel,water,
87,dewgong,water,ice
88,grimer,poison,
89,muk,poison,
90,shellder,water,
91,cloyster,water,ice
92,gastly,ghost,poison
93,haunter,ghost,poison
94,gengar,ghost,poison
95,onix,rock,ground
96,drowzee,psychic,
97,hypno,psychic,
98,krabby,water,
99,kingler,water,
100,voltorb,electric,
101,electrode,electric,
102,exeggcute,grass,psychic
103,exeggutor,grass,psychic
104,cubone,ground,
105,marowak,ground,
106,hitmonlee,fighting,
107,hitmonchan,fighting,
108,lickitung,normal,
109,koffing,poison,
110,weezing,poison,
111,rhyhorn,ground,rock
112,rhydon,ground,rock
113,chansey,normal,
114,tangela,grass,
115,kangaskhan,normal,
116,horsea,water,
117,seadra,water,
118,goldeen,water,
119,seaking,water,
120,staryu,water,
121,starmie,water,psychic
122,mr-mime,psychic,fairy
123,scyther,bug,flying
124,jynx,ice,psychic
125,electabuzz,electric,
126,magmar,fire,
127,pinsir,bug,
128,tauros,normal,
129,magikarp,water,
130,gyarados,water,flying
131,lapras,water,ice
132,ditto,normal,
133,eevee,normal,
134,vaporeon,water,
135,jolteon,electric,
136,flareon,fire,
137,porygon,normal,
138,omanyte,rock,water
139,omastar,rock,water
140,kabuto,rock,water
141,kabutops,rock,water
142,aerodactyl,rock,flying
143,snorlax,normal,
144,articuno,ice,flying
145,zapdos,electric,flying
146,moltres,fire,flying
147,dratini,dragon,
148,dragonair,dragon,
149,dragonite,dragon,flying
150,mewtwo,psychic,
151,mew,psychic,
152,chikorita,grass,
153,bayleef,grass,
154,meganium,grass,
155,cyndaquil,fire,
156,quilava,fire,
157,typhlosion,fire,
158,totodile,water,
159,croconaw,water,
160,feraligatr,water,
161,sentret,normal,
162,furret,normal,
163,hoothoot,normal,flying
